Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
EAST HARLEM NORTH,Manhattan,64720.0,45.10352286773795,10.506798516687269,37.771940667490725,0.010815822002472188,0.0,0.8529048207663783,4.031211372064277,2.0194684796044498,1.123300370828183,0.715389369592089,0.0046353522867737945,45.10352286773795,Hispanic,false,EAST HARLEM NORTH,751,629,49,25,48,0.011603831891223732,0.009718788627935723,7.571075401730531E-4,3.8627935723114956E-4,7.416563658838071E-4,0.27836816457356073
WASHINGTON HEIGHTS SOUTH,Manhattan,82547.0,70.65671677953166,13.506244927132421,10.088797896955674,0.11387451997044108,0.0036342931905459916,0.47609240796152497,4.036488303633082,1.612414745538905,1.2683683235005512,1.0260821107974851,0.04118865615952124,70.65671677953166,Hispanic,false,WASHINGTON HEIGHTS SOUTH,1022,848,124,16,34,0.01238082546912668,0.010272935418610005,0.00150217451875901,1.938289701624529E-4,4.118865615952124E-4,0.29915830307408026
WASHINGTON HEIGHTS NORTH,Manhattan,83526.0,63.28448626774896,27.359145655245072,3.7102219668127288,0.07662284797548069,0.005986159998084429,0.6536886717908196,2.9068792950697984,1.7874673754280104,0.606996623805761,0.45853985585326723,0.0011972319996168858,63.28448626774896,Hispanic,false,WASHINGTON HEIGHTS NORTH,1286,1155,73,13,45,0.01539640351507315,0.01382802959557503,8.739793597203266E-4,1.5564015995019515E-4,5.387543998275986E-4,0.3798465957670015
WOODSIDE,Queens,48799.0,37.791758027828436,18.379474989241583,0.6885386995635157,0.05942744728375582,0.0,0.3135310149798151,41.5315887620648,14.805631262935714,14.416279022111109,10.832189184204594,0.75411381380766,41.5315887620648,Asian,false,WOODSIDE,252,207,25,6,14,0.005164040246726368,0.004241890202668087,5.123055800323777E-4,1.2295333920777065E-4,2.868911248181315E-4,0.1060576538934946
JACKSON HEIGHTS,Queens,93703.0,52.068770476932436,17.557602211241903,2.7224315123315157,0.0576288912841638,0.0672337064981911,0.5293320384619489,24.644888637503602,7.992273459761161,12.749858595776015,3.068204860036498,0.42581347448854356,52.068770476932436,Hispanic,false,JACKSON HEIGHTS,522,384,66,30,42,0.005570792824135833,0.0040980544913183144,7.043531156953353E-4,3.201605071342433E-4,4.482247099879406E-4,0.11694119612637821
KEW GARDENS HILLS,Queens,35489.0,15.255431260390543,50.13102651525825,7.6558933754120995,0.2113330891262081,0.0,0.2620530305164981,23.71439037448223,14.906027219701878,3.5475781227986136,2.479641579080842,2.031615430133281,50.13102651525825,White,true,KEW GARDENS HILLS,269,204,38,12,15,0.007579813463326665,0.005748260024232861,0.0010707543182394545,3.3813294260193297E-4,4.226661782524162E-4,0.1706968751011107
FRESH MEADOWS-UTOPIA,Queens,22124.0,10.111191466280962,29.230699692641476,7.1144458506599175,0.0,0.0,0.2847586331585608,50.637316940878684,37.26270113903453,9.745073223648525,3.2769842704755017,0.225998915205207,50.637316940878684,Asian,false,FRESH MEADOWS-UTOPIA,86,66,9,6,5,0.0038871813415295607,0.0029831856807087326,4.0679804736937263E-4,2.711986982462484E-4,2.2599891520520702E-4,0.07189254077079751
JAMAICA ESTATES-HOLLISWOOD,Queens,25084.0,14.220220060596397,26.096316376973373,25.590017541062032,0.4425131557965237,0.0,1.4790304576622548,28.870993461967785,2.9740073353532135,19.996810715994258,5.170626694307128,0.143517780258332,28.870993461967785,Asian,false,JAMAICA ESTATES-HOLLISWOOD,235,213,12,4,6,0.00936852176686334,0.008491468665284644,4.783926008611067E-4,1.5946420028703555E-4,2.3919630043055335E-4,0.21855762250641528
KEW GARDENS,Queens,24167.0,24.65759092978028,45.702817892167005,6.4550833781603005,0.6165432200935159,0.041378739603591674,1.0261927421690735,18.678363057061283,4.932345760748127,10.266065295651094,3.1323705879918897,0.028965117722514172,45.702817892167005,White,true,KEW GARDENS,367,306,41,10,10,0.015185997434518145,0.012661894318699053,0.0016965283237472587,4.137873960359167E-4,4.137873960359167E-4,0.3742167274122383
RICHMOND HILL,Queens,35842.0,41.537860610457,15.066123542213047,7.851124379219909,0.8732771608727192,0.0,3.141565760839239,25.857932035042687,1.5652028346632443,21.497126276435466,2.321299034652084,0.30690251660063617,41.537860610457,Hispanic,false,RICHMOND HILL,298,197,45,26,30,0.008314268176999052,0.005496345070029574,0.0012555102951844206,7.254059483287763E-4,8.370068634562804E-4,0.1903487945684755
